Loan Number,Country,Interest Rate,Currency of Commitment,Project ID,Original Principal Amount,Cancelled Amount,Disbursed Amount,Repaid to IBRD,Sold 3rd Party,First Repayment Date,Last Repayment Date
IBRD00320,Ethiopia,4,USD,P000658,"$2,000,000.00 ",$0.00 ,"$2,000,000.00 ","$2,000,000.00 ",$0.00 ,03/01/1956,03/01/1971
IBRD00330,Mexico,3.5,USD,P007500,"$10,000,000.00 ","$9,472,112.16 ","$527,887.84 ","$527,887.84 ",$0.00 ,03/15/1952,09/15/1957
IBRD00340,Turkey,3.75,USD,P008873,"$9,000,000.00 ","$323,944.29 ","$8,676,055.71 ","$8,676,055.71 ",$0.00 ,03/15/1957,09/15/1965
IBRD00350,Thailand,3.75,USD,P004652,"$3,000,000.00 ",$0.00 ,"$3,000,000.00 ","$2,811,000.00 ","$189,000.00 ",04/15/1954,04/15/1966
IBRD00360,Thailand,4,USD,P004650,"$18,000,000.00 ",$0.00 ,"$18,000,000.00 ","$17,204,000.00 ","$796,000.00 ",04/15/1956,04/15/1971
IBRD00370,Thailand,3.75,USD,P004651,"$4,400,000.00 ",$0.00 ,"$4,400,000.00 ","$4,125,000.00 ","$275,000.00 ",04/15/1954,04/15/1966
IBRD00380,Colombia,4,USD,P006683,"$3,530,000.00 ",$0.00 ,"$3,530,000.00 ","$3,382,000.00 ","$148,000.00 ",05/01/1954,11/01/1970
IBRD00390,Colombia,4,USD,P006684,"$2,600,000.00 ",$0.00 ,"$2,600,000.00 ","$2,406,000.00 ","$194,000.00 ",08/15/1952,02/15/1971
IBRD00400,South Africa,3.75,USD,P037473,"$20,000,000.00 ",$0.00 ,"$20,000,000.00 ","$12,933,000.00 ","$7,067,000.00 ",05/15/1956,11/15/1965
IBRD00410,South Africa,4,USD,P037472,"$30,000,000.00 ",$0.00 ,"$30,000,000.00 ","$4,745,652.00 ","$25,254,348.00 ",05/15/1954,11/15/1970
IBRD00420,Ethiopia,4,USD,P000657,"$1,500,000.00 ",$0.00 ,"$1,500,000.00 ","$1,500,000.00 ",$0.00 ,03/01/1956,03/01/1971
IBRD00430,Colombia,3.88,USD,P006685,"$16,500,000.00 ",$0.00 ,"$16,500,000.00 ","$15,700,000.00 ","$800,000.00 ",11/15/1954,05/15/1961
IBRD00440,Nicaragua,4,USD,P007734,"$1,200,000.00 ","$6,879.20 ","$1,193,120.80 ","$1,164,120.80 ","$29,000.00 ",03/15/1954,09/15/1958
IBRD00450,Nicaragua,4.13,USD,P007735,"$3,500,000.00 ",$0.00 ,"$3,500,000.00 ","$3,471,000.00 ","$29,000.00 ",03/15/1954,09/15/1961
IBRD00460,Iceland,4.38,USD,P037384,"$2,450,000.00 ",$0.00 ,"$2,450,000.00 ","$2,450,000.00 ",$0.00 ,06/01/1956,06/01/1973
IBRD00470,"Congo, Democratic Republic of",4.5,USD,P003006,"$40,000,000.00 ",$0.00 ,"$40,000,000.00 ","$15,153,953.47 ","$24,846,046.53 ",03/15/1957,09/15/1976
IBRD00480,Belgium,4.5,USD,P037359,"$30,000,000.00 ",$0.00 ,"$30,000,000.00 ","$3,000.00 ","$29,997,000.00 ",03/15/1957,09/15/1976
IBRD00490,Chile,4.38,USD,P006579,"$1,300,000.00 ","$445,544.21 ","$854,455.79 ","$221,455.79 ","$633,000.00 ",04/01/1955,10/01/1961
IBRD00500,Italy,4.5,USD,P037413,"$10,000,000.00 ",$0.00 ,"$10,000,000.00 ","$2,466,000.00 ","$7,534,000.00 ",11/01/1956,11/01/1976
IBRD00510,"Yugoslavia, former",4.5,USD,P009134,"$28,000,000.00 ",$0.00 ,"$28,000,000.00 ","$28,000,000.00 ",$0.00 ,04/15/1955,10/15/1976
IBRD00520,Nicaragua,4.38,USD,P007736,"$550,000.00 ","$3,006.02 ","$546,993.98 ","$517,993.98 ","$29,000.00 ",09/15/1954,03/15/1962
IBRD00530,Iceland,4.5,USD,P037385,"$1,008,000.00 ",$0.00 ,"$1,008,000.00 ","$1,008,000.00 ",$0.00 ,12/01/1956,12/01/1973
IBRD00540,Colombia,4.5,USD,P006686,"$2,400,000.00 ",$0.00 ,"$2,400,000.00 ","$2,315,200.00 ","$84,800.00 ",01/01/1954,01/01/1972
IBRD00550,Paraguay,4.38,USD,P007848,"$5,000,000.00 ","$511,009.54 ","$4,488,990.46 ","$4,388,990.46 ","$100,000.00 ",05/01/1954,11/01/1960
IBRD00560,Mexico,4.5,USD,P007501,"$29,700,000.00 ",$0.00 ,"$29,700,000.00 ","$26,832,000.00 ","$2,868,000.00 ",08/01/1955,02/01/1977
IBRD00570,Peru,4.5,USD,P007929,"$2,500,000.00 ","$89,472.39 ","$2,410,527.61 ","$1,311,295.28 ","$1,099,232.33 ",01/01/1954,01/01/1967
IBRD00580,Zimbabwe,4.75,USD,P003263,"$28,000,000.00 ",$0.00 ,"$28,000,000.00 ","$5,951,000.00 ","$22,049,000.00 ",11/01/1956,05/01/1977
IBRD00590,Netherlands,4.13,USD,P037458,"$7,000,000.00 ",$0.00 ,"$7,000,000.00 ","$3,500,000.00 ","$3,500,000.00 ",01/01/1954,07/01/1958
IBRD00600,Pakistan,4.63,USD,P010002,"$27,200,000.00 ",$0.00 ,"$27,200,000.00 ","$26,264,400.00 ","$935,600.00 ",08/15/1954,02/15/1967
IBRD00610,Finland,4.75,USD,P037367,"$20,000,000.00 ",$0.00 ,"$20,000,000.00 ","$12,001,127.24 ","$7,998,872.76 ",12/01/1955,06/01/1970
IBRD00620,Pakistan,4.13,USD,P010003,"$3,250,000.00 ",$0.00 ,"$3,250,000.00 ","$2,253,000.00 ","$997,000.00 ",02/15/1954,08/15/1959
IBRD00630,Turkey,4.75,USD,P008875,"$25,200,000.00 ","$2,356,001.41 ","$22,843,998.59 ","$22,344,222.63 ","$499,775.96 ",04/01/1960,04/01/1977
IBRD00640,Brazil,4.75,USD,P006217,"$25,000,000.00 ","$25,000,000.00 ",$0.00 ,$0.00 ,$0.00 ,11/15/1957,11/15/1957
IBRD00650,Brazil,4.63,USD,P006218,"$12,500,000.00 ",$0.00 ,"$12,500,000.00 ","$12,500,000.00 ",$0.00 ,11/15/1955,05/15/1967
IBRD00660,Australia,4.75,USD,P037343,"$50,000,000.00 ",$0.00 ,"$50,000,000.00 ","$19,546,723.56 ","$30,453,276.44 ",06/01/1957,12/01/1972
IBRD00670,Peru,4.13,USD,P007930,"$1,300,000.00 ",$0.00 ,"$1,300,000.00 ","$860,750.00 ","$439,250.00 ",07/15/1954,07/15/1959
IBRD00680,Colombia,4.75,USD,P006687,"$25,000,000.00 ",$0.00 ,"$25,000,000.00 ","$25,000,000.00 ",$0.00 ,08/15/1957,02/15/1978
IBRD00690,Iceland,4.75,USD,P037386,"$854,000.00 ",$0.00 ,"$854,000.00 ","$854,000.00 ",$0.00 ,12/01/1954,06/01/1969
IBRD00700,Finland,4.75,USD,P037368,"$3,479,464.39 ","$1,415.63 ","$3,478,048.76 ","$2,256,176.84 ","$1,221,871.92 ",12/01/1955,06/01/1970
IBRD00710,India,4.75,USD,P009590,"$31,500,000.00 ","$2,297,111.52 ","$29,202,888.48 ","$28,502,888.48 ","$700,000.00 ",04/15/1959,10/15/1967
IBRD00720,India,4.88,USD,P009589,"$19,500,000.00 ","$9,000,000.00 ","$10,500,000.00 ","$9,655,000.00 ","$845,000.00 ",07/15/1956,01/15/1981
IBRD00730,"Yugoslavia, former",4.88,USD,P009135,"$30,000,000.00 ",$0.00 ,"$30,000,000.00 ","$30,000,000.00 ",$0.00 ,08/15/1956,02/15/1978
IBRD00740,Zambia,4.75,USD,P003149,"$14,000,000.00 ",$0.00 ,"$14,000,000.00 ","$793,709.60 ","$13,206,290.40 ",02/01/1956,02/01/1972
IBRD00750,Brazil,4.25,USD,P006219,"$3,000,000.00 ","$18,945.52 ","$2,981,054.48 ","$2,981,054.48 ",$0.00 ,07/15/1954,01/15/1959
IBRD00760,Brazil,5,USD,P006220,"$7,300,000.00 ",$0.00 ,"$7,300,000.00 ","$6,253,000.00 ","$1,047,000.00 ",01/15/1957,07/15/1973
IBRD00770,South Africa,4.75,USD,P037475,"$30,000,000.00 ",$0.00 ,"$30,000,000.00 ","$1,553,633.22 ","$28,446,366.78 ",11/15/1955,11/15/1963
IBRD00780,South Africa,4.75,USD,P037474,"$30,000,000.00 ",$0.00 ,"$30,000,000.00 ","$2,393,000.00 ","$27,607,000.00 ",09/15/1955,09/15/1963
IBRD00790,Iceland,5,USD,P037387,"$1,350,000.00 ",$0.00 ,"$1,350,000.00 ","$1,210,028.90 ","$139,971.10 ",09/01/1958,03/01/1975
IBRD00800,Iceland,4.75,USD,P037388,"$252,000.00 ",$0.00 ,"$252,000.00 ","$252,000.00 ",$0.00 ,07/15/1954,01/15/1966
IBRD00810,Nicaragua,4.75,USD,P007738,"$3,500,000.00 ",$0.00 ,"$3,500,000.00 ","$3,500,000.00 ",$0.00 ,03/15/1957,09/15/1963
IBRD00820,Nicaragua,4.75,USD,P007737,"$450,000.00 ",$0.00 ,"$450,000.00 ","$450,000.00 ",$0.00 ,03/15/1955,09/15/1963
IBRD00830,Chile,5,USD,P006580,"$20,000,000.00 ",$0.00 ,"$20,000,000.00 ","$19,621,052.67 ","$378,947.33 ",05/15/1958,11/15/1970
IBRD00840,Colombia,4.75,USD,P006688,"$14,350,000.00 ",$0.00 ,"$14,350,000.00 ","$14,000,000.00 ","$350,000.00 ",05/15/1956,11/15/1963
IBRD00850,Turkey,4.88,USD,P008876,"$9,000,000.00 ","$32,938.29 ","$8,967,061.71 ","$8,937,061.71 ","$30,000.00 ",08/15/1958,08/15/1968
IBRD00860,Panama,4.63,USD,P007791,"$1,200,000.00 ","$542,573.57 ","$657,426.43 ","$657,426.43 ",$0.00 ,11/15/1955,05/15/1960
IBRD00870,Panama,4.63,USD,P007792,"$290,000.00 ",$0.00 ,"$290,000.00 ","$290,000.00 ",$0.00 ,11/15/1955,05/15/1961
IBRD00880,Italy,5,USD,P037414,"$10,000,000.00 ",$0.00 ,"$10,000,000.00 ","$3,344,000.00 ","$6,656,000.00 ",11/01/1958,11/01/1978
IBRD00890,Japan,5,USD,P037421,"$21,500,000.00 ","$922,428.77 ","$20,577,571.23 ","$7,819,798.23 ","$12,757,773.00 ",01/01/1957,07/01/1973
IBRD00900,Japan,5,USD,P037422,"$11,200,000.00 ","$749,679.44 ","$10,450,320.56 ","$4,006,626.56 ","$6,443,694.00 ",01/01/1957,07/01/1973
IBRD00910,Japan,5,USD,P037423,"$7,500,000.00 ","$1,043,610.91 ","$6,456,389.09 ","$2,561,389.09 ","$3,895,000.00 ",01/01/1957,07/01/1973
IBRD00920,Brazil,4.88,USD,P006223,"$12,500,000.00 ",$0.00 ,"$12,500,000.00 ","$12,500,000.00 ",$0.00 ,07/01/1959,01/01/1969
IBRD00930,Brazil,5,USD,P006221,"$10,000,000.00 ",$0.00 ,"$10,000,000.00 ","$10,000,000.00 ",$0.00 ,07/01/1958,01/01/1974
IBRD00940,Ecuador,4.63,USD,P007031,"$8,500,000.00 ","$1,000,000.00 ","$7,500,000.00 ","$7,500,000.00 ",$0.00 ,03/01/1958,03/01/1964
IBRD00950,Brazil,4.88,USD,P006222,"$18,790,000.00 ",$0.00 ,"$18,790,000.00 ","$18,790,000.00 ",$0.00 ,09/01/1955,03/01/1974
IBRD00960,Australia,4.75,USD,P037344,"$54,000,000.00 ",$0.00 ,"$54,000,000.00 ","$10,810,000.00 ","$43,190,000.00 ",03/01/1957,03/01/1969
IBRD00970,Norway,4.75,USD,P037466,"$25,000,000.00 ",$0.00 ,"$25,000,000.00 ","$11,337,000.00 ","$13,663,000.00 ",10/15/1957,04/15/1974
IBRD00980,Peru,4.25,USD,P007931,"$1,700,000.00 ",$0.00 ,"$1,700,000.00 ","$1,308,000.00 ","$392,000.00 ",07/15/1956,07/15/1961
IBRD00990,Pakistan,4.75,USD,P010004,"$14,000,000.00 ",$0.00 ,"$14,000,000.00 ","$12,194,000.00 ","$1,806,000.00 ",08/01/1956,08/01/1974
IBRD01000,Cote d'Ivoire,4.5,USD,P001094,"$7,500,000.00 ","$408,432.88 ","$7,091,567.12 ","$4,493,567.12 ","$2,598,000.00 ",12/01/1956,06/01/1966
IBRD01010,Sri Lanka,4.75,USD,P010005,"$19,110,000.00 ","$3,210,590.52 ","$15,899,409.48 ","$15,576,409.50 ","$322,999.98 ",01/15/1959,07/15/1979
IBRD01020,Austria,4.75,USD,P037349,"$12,000,000.00 ",$0.00 ,"$12,000,000.00 ","$5,757,176.28 ","$6,242,823.72 ",07/15/1959,07/15/1979
IBRD01030,Mexico,4.63,USD,P007502,"$61,000,000.00 ",$0.00 ,"$61,000,000.00 ","$52,554,000.00 ","$8,446,000.00 ",06/01/1959,12/01/1969
IBRD01040,El Salvador,4.5,USD,P007138,"$11,100,000.00 ",$0.00 ,"$11,100,000.00 ","$10,850,000.00 ","$250,000.00 ",04/15/1959,10/15/1966
IBRD01050,Peru,4.25,USD,P007932,"$5,000,000.00 ",$229.39 ,"$4,999,770.61 ","$4,251,770.61 ","$748,000.00 ",08/01/1957,02/01/1963
IBRD01060,India,4.75,USD,P009592,"$16,200,000.00 ","$2,356,679.69 ","$13,843,320.31 ","$12,479,320.31 ","$1,364,000.00 ",10/15/1958,10/15/1974
IBRD01070,Belgium,4.63,USD,P037360,"$20,000,000.00 ",$0.00 ,"$20,000,000.00 ","$825,000.00 ","$19,175,000.00 ",02/15/1965,08/15/1969
IBRD01080,Colombia,4.25,USD,P006689,"$5,000,000.00 ",$0.00 ,"$5,000,000.00 ","$2,000,000.00 ","$3,000,000.00 ",05/15/1957,11/15/1961
IBRD01090,India,4.63,USD,P009591,"$10,000,000.00 ","$124,551.48 ","$9,875,448.52 ","$9,875,448.52 ",$0.00 ,07/01/1961,07/01/1969
IBRD01100,Eastern Africa,4.75,USD,P000620,"$24,000,000.00 ",$0.00 ,"$24,000,000.00 ","$237,000.00 ","$23,763,000.00 ",01/15/1958,07/15/1974
IBRD01110,Australia,4.63,USD,P037345,"$54,500,000.00 ",$0.00 ,"$54,500,000.00 ","$13,323,944.98 ","$41,176,055.02 ",03/15/1958,03/15/1970
IBRD01120,Finland,4.63,USD,P037369,"$12,000,000.00 ",$0.00 ,"$12,000,000.00 ","$5,557,549.85 ","$6,442,450.15 ",04/15/1958,04/15/1970
IBRD01130,Colombia,4.75,USD,P006690,"$4,500,000.00 ",$0.00 ,"$4,500,000.00 ","$4,500,000.00 ",$0.00 ,01/15/1959,01/15/1975
IBRD01140,Peru,4.75,USD,P007933,"$18,000,000.00 ",$536.53 ,"$17,999,463.47 ","$17,451,463.47 ","$548,000.00 ",09/15/1959,09/15/1980
IBRD01150,Norway,4.75,USD,P037467,"$25,000,000.00 ",$0.00 ,"$25,000,000.00 ","$13,911,568.43 ","$11,088,431.57 ",11/15/1960,05/15/1975
IBRD01160,Peru,4.63,USD,P007934,"$2,500,000.00 ","$2,918.00 ","$2,497,082.00 ","$2,187,082.00 ","$310,000.00 ",05/01/1958,05/01/1970
IBRD01170,Italy,4.75,USD,P037415,"$70,000,000.00 ","$1,600,000.00 ","$68,400,000.00 ","$15,767,868.69 ","$52,632,131.31 ",07/15/1958,07/15/1975
IBRD01180,Austria,4.75,USD,P037350,"$10,000,000.00 ",$0.00 ,"$10,000,000.00 ","$5,053,164.22 ","$4,946,835.78 ",05/01/1960,11/01/1979
IBRD01190,Colombia,4.75,USD,P006691,"$15,900,000.00 ",$0.00 ,"$15,900,000.00 ","$13,914,000.00 ","$1,986,000.00 ",11/01/1958,05/01/1980
IBRD01200,Pakistan,4.63,USD,P010006,"$13,800,000.00 ","$23,415.24 ","$13,776,584.76 ","$11,726,984.76 ","$2,049,600.00 ",12/01/1957,06/01/1970
IBRD01210,Nicaragua,4.75,USD,P007740,"$7,100,000.00 ",$0.00 ,"$7,100,000.00 ","$6,346,000.00 ","$754,000.00 ",10/01/1958,04/01/1975
IBRD01220,Nicaragua,4.75,USD,P007741,"$400,000.00 ",$0.00 ,"$400,000.00 ","$400,000.00 ",$0.00 ,10/01/1958,04/01/1975
IBRD01230,Panama,4.25,USD,P007793,"$5,900,000.00 ",$0.00 ,"$5,900,000.00 ","$4,200,000.00 ","$1,700,000.00 ",05/01/1959,05/01/1964
IBRD01240,Guatemala,4.63,USD,P007179,"$18,200,000.00 ",$0.00 ,"$18,200,000.00 ","$15,469,000.00 ","$2,731,000.00 ",02/01/1959,08/01/1970
IBRD01250,Pakistan,4.63,USD,P010007,"$4,200,000.00 ",$0.00 ,"$4,200,000.00 ","$3,425,000.00 ","$775,000.00 ",08/15/1956,08/15/1970
IBRD01260,Pakistan,4.75,USD,P010008,"$14,800,000.00 ","$99,246.44 ","$14,700,753.56 ","$14,158,914.42 ","$541,839.14 ",06/01/1960,06/01/1980
IBRD01270,Peru,4.25,USD,P007935,"$5,000,000.00 ","$5,112.54 ","$4,994,887.46 ","$3,961,887.46 ","$1,033,000.00 ",08/15/1958,08/15/1964
IBRD01280,Thailand,4.63,USD,P004653,"$12,000,000.00 ",$0.00 ,"$12,000,000.00 ","$10,895,000.00 ","$1,105,000.00 ",08/15/1958,08/15/1970
IBRD01290,Lebanon,4.75,USD,P005324,"$27,000,000.00 ",$0.00 ,"$27,000,000.00 ","$24,050,075.20 ","$2,949,924.80 ",08/01/1961,08/01/1980
IBRD01300,Nicaragua,4.25,USD,P007739,"$1,500,000.00 ",$633.41 ,"$1,499,366.59 ","$764,366.59 ","$735,000.00 ",10/01/1957,10/01/1967
IBRD01310,Algeria,4.75,USD,P004872,"$10,000,000.00 ",$0.00 ,"$10,000,000.00 ","$2,170,000.00 ","$7,830,000.00 ",03/01/1957,09/01/1975
IBRD01320,Uruguay,4.75,USD,P008110,"$5,500,000.00 ",$0.00 ,"$5,500,000.00 ","$4,846,000.00 ","$654,000.00 ",05/01/1958,05/01/1975
IBRD01330,Japan,4.63,USD,P037424,"$5,300,000.00 ","$171,141.90 ","$5,128,858.10 ","$2,418,858.10 ","$2,710,000.00 ",03/01/1958,09/01/1970
IBRD01340,South Africa,4.5,USD,P037476,"$25,200,000.00 ",$0.00 ,"$25,200,000.00 ","$21,176,000.00 ","$4,024,000.00 ",07/01/1958,01/01/1966
IBRD01350,Honduras,4.5,USD,P007331,"$4,200,000.00 ",$0.00 ,"$4,200,000.00 ","$3,328,000.00 ","$872,000.00 ",12/01/1957,12/01/1964
IBRD01360,Japan,4.75,USD,P037425,"$8,100,000.00 ","$539,555.23 ","$7,560,444.77 ","$3,980,444.77 ","$3,580,000.00 ",02/15/1958,02/15/1971
IBRD01370,Ecuador,4.75,USD,P007032,"$5,000,000.00 ",$0.00 ,"$5,000,000.00 ","$4,803,000.00 ","$197,000.00 ",08/01/1959,02/01/1976
IBRD01380,Norway,4.75,USD,P037468,"$25,000,000.00 ",$0.00 ,"$25,000,000.00 ","$15,183,904.96 ","$9,816,095.04 ",08/01/1961,08/01/1976
IBRD01390,Myanmar,4.75,USD,P003336,"$5,350,000.00 ","$3,432.92 ","$5,346,567.08 ","$5,346,567.08 ",$0.00 ,10/15/1959,04/15/1971
IBRD01400,Myanmar,4.75,USD,P003335,"$14,000,000.00 ","$57,516.55 ","$13,942,483.45 ","$13,742,505.37 ","$199,978.08 ",04/15/1960,04/15/1976
IBRD01410,Haiti,4.5,USD,P007270,"$2,600,000.00 ",$0.00 ,"$2,600,000.00 ","$2,214,000.00 ","$386,000.00 ",07/01/1961,07/01/1972
IBRD01420,Finland,4.75,USD,P037370,"$15,000,000.00 ",$0.00 ,"$15,000,000.00 ","$10,993,046.25 ","$4,006,953.75 ",06/01/1959,06/01/1976
IBRD01430,Nicaragua,4.75,USD,P007742,"$3,200,000.00 ",$0.00 ,"$3,200,000.00 ","$3,079,000.00 ","$121,000.00 ",10/01/1959,10/01/1976
IBRD01440,Colombia,4.75,USD,P006692,"$16,500,000.00 ",$0.00 ,"$16,500,000.00 ","$16,500,000.00 ",$0.00 ,05/15/1959,05/15/1971
IBRD01450,Southern Africa,5,USD,P003264,"$80,000,000.00 ",$0.00 ,"$80,000,000.00 ","$42,554,765.50 ","$37,445,234.50 ",06/01/1963,12/01/1981
IBRD01460,India,4.75,USD,P009593,"$75,000,000.00 ",$0.00 ,"$75,000,000.00 ","$68,718,000.00 ","$6,282,000.00 ",12/01/1959,06/01/1971
IBRD01470,Costa Rica,4.75,USD,P006895,"$3,000,000.00 ",$0.00 ,"$3,000,000.00 ","$2,634,000.00 ","$366,000.00 ",10/01/1958,10/01/1963
IBRD01480,Austria,5,USD,P037351,"$10,000,000.00 ",$0.00 ,"$10,000,000.00 ","$4,680,191.39 ","$5,319,808.61 ",09/01/1959,09/01/1976
IBRD01490,Austria,5,USD,P037352,"$21,000,000.00 ",$0.00 ,"$21,000,000.00 ","$15,194,229.77 ","$5,805,770.23 ",01/15/1960,07/15/1981
IBRD01500,Italy,5,USD,P037416,"$74,628,000.00 ",$0.00 ,"$74,628,000.00 ","$15,248,295.12 ","$59,379,704.88 ",09/01/1959,09/01/1976
IBRD01510,Thailand,4.75,USD,P004654,"$3,400,000.00 ","$140,921.89 ","$3,259,078.11 ","$3,075,078.11 ","$184,000.00 ",08/15/1958,08/15/1971
